Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
boxy6-t-shirt-with-roll-sleeve,,,,,,,,L,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-11_5d5f7eab-8b89-4c07-8ba5-4ba0dfd71c10.jpg?v=1515096032,3,,,,,,,,,,,,,,,,,,,kg,
boxy6-t-shirt-with-roll-sleeve,,,,,,,,XL,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-16_3f9a3674-941d-4878-abf2-d5fa1a81ad66.jpg?v=1515096032,4,,,,,,,,,,,,,,,,,,,kg,
boxy6-t-shirt-with-roll-sleeve,,,,,,,,S,,Red,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12_0cb97f16-c7e8-4b2c-80cf-c8e56ccb72a1.jpg?v=1515096032,5,,,,,,,,,,,,,,,,,,,kg,
boxy6-t-shirt-with-roll-sleeve,,,,,,,,S,,Black,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-10_c839542f-834f-4721-8252-456fdb3f2f98.jpg?v=1515096032,6,,,,,,,,,,,,,,,,,,,kg,
boxy6-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-03_6f28ebdd-57ba-4f91-b2c0-f8aac9e3f583.jpg?v=1515096032,7,,,,,,,,,,,,,,,,,,,,
boxy6-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-15_a63f5792-19fd-4a83-bdf1-6341e41d2696.jpg?v=1515096032,8,,,,,,,,,,,,,,,,,,,,
boxy5-t-shirt-with-roll-sleeve,Boxy5 T-Shirt with Roll Sleeve,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, color_gray, color_red, price_20-40, Shirts, size_L, size_M, sleeveless",true,Size,S,Color,Gray,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-04_bcfb0f5a-4eff-46f0-992d-b73eb1b4b88e.jpg?v=1515095994,1,,false,,,,,,,,,,,,,,,,,kg,
boxy5-t-shirt-with-roll-sleeve,,,,,,,,M,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-11_cd2b4807-e450-45ad-9abd-077f69ea8dd4.jpg?v=1515095994,2,,,,,,,,,,,,,,,,,,,kg,
boxy5-t-shirt-with-roll-sleeve,,,,,,,,L,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-16_c9ebb7e6-bcec-4f4c-bb68-fe1858226522.jpg?v=1515095994,3,,,,,,,,,,,,,,,,,,,kg,
boxy5-t-shirt-with-roll-sleeve,,,,,,,,XL,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12_a8a3cba5-772a-4803-b592-078a11aa43b6.jpg?v=1515095994,4,,,,,,,,,,,,,,,,,,,kg,
boxy5-t-shirt-with-roll-sleeve,,,,,,,,S,,Red,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-10_6b0ef12d-ed4c-4457-a451-ee9b58ba4a87.jpg?v=1515095994,5,,,,,,,,,,,,,,,,,,,kg,
boxy5-t-shirt-with-roll-sleeve,,,,,,,,S,,Black,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-03_81d34c7a-ea3b-499e-aa5e-299fe5e17135.jpg?v=1515095994,6,,,,,,,,,,,,,,,,,,,kg,
boxy5-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-13_5f4e2816-1f89-4488-b8b5-f73731c721b4.jpg?v=1515095994,7,,,,,,,,,,,,,,,,,,,,
boxy5-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-15_87e44a1e-8d79-4944-a162-80dbb6fa951a.jpg?v=1515095994,8,,,,,,,,,,,,,,,,,,,,
boxy4-t-shirt-with-roll-sleeve,Boxy4 T-Shirt with Roll Sleeve,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, price_0-20, price_20-40, Shirts, size_S, size_XL, sleeveless",true,Size,S,Color,Gray,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-11_fa17bbd7-4f67-488d-930a-f5e6ece4e595.jpg?v=1514273806,1,,false,,,,,,,,,,,,,,,,,kg,
boxy4-t-shirt-with-roll-sleeve,,,,,,,,M,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-16_4de6740a-9efb-4829-8b4f-e65c52792afb.jpg?v=1514273806,2,,,,,,,,,,,,,,,,,,,kg,
boxy4-t-shirt-with-roll-sleeve,,,,,,,,L,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12_7394db7c-f9a6-45cd-9f8b-d4b75fe02bfe.jpg?v=1514273806,3,,,,,,,,,,,,,,,,,,,kg,
boxy4-t-shirt-with-roll-sleeve,,,,,,,,XL,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-10_695ab21f-0619-4720-8e2e-9a564b0dcf8c.jpg?v=1514273806,4,,,,,,,,,,,,,,,,,,,kg,
boxy4-t-shirt-with-roll-sleeve,,,,,,,,S,,Red,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-03_f6bcecb9-a322-4fbf-99fc-7cd68de7af48.jpg?v=1514273806,5,,,,,,,,,,,,,,,,,,,kg,
boxy4-t-shirt-with-roll-sleeve,,,,,,,,S,,Black,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-13_8269691c-d2f7-465c-96ee-26a0f5ac4baf.jpg?v=1514273806,6,,,,,,,,,,,,,,,,,,,kg,
boxy4-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-04_a198f5af-6eb9-44ab-8f58-68a6012e899b.jpg?v=1514273806,7,,,,,,,,,,,,,,,,,,,,
boxy4-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-15_c135a967-7713-4e91-a8c8-c81d0fe6928f.jpg?v=1514273806,8,,,,,,,,,,,,,,,,,,,,
boxy3-t-shirt-with-roll-sleeve,Boxy3 T-Shirt with Roll Sleeve,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, price_20-40, Shirts, size_L, size_M, sleeveless",true,Size,S,Color,Gray,,,"",0,,1,deny,manual,20.00,30.00,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-16_84f06345-b149-4331-9957-2d65c6b87584.jpg?v=1514273770,1,,false,,,,,,,,,,,,,,,,,kg,
boxy3-t-shirt-with-roll-sleeve,,,,,,,,M,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12_e6ec3f69-66c9-4b49-b3f9-50892ae3c291.jpg?v=1514273770,2,,,,,,,,,,,,,,,,,,,kg,
boxy3-t-shirt-with-roll-sleeve,,,,,,,,L,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-10_f9d5442b-e554-42bf-a04a-febbdd722232.jpg?v=1514273770,3,,,,,,,,,,,,,,,,,,,kg,
boxy3-t-shirt-with-roll-sleeve,,,,,,,,XL,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-03_62615ce5-f385-4a04-9642-6dba8e32426d.jpg?v=1514273770,4,,,,,,,,,,,,,,,,,,,kg,
boxy3-t-shirt-with-roll-sleeve,,,,,,,,S,,Red,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-13_2266955e-546e-41f0-845c-5faeddfede8c.jpg?v=1514273770,5,,,,,,,,,,,,,,,,,,,kg,
boxy3-t-shirt-with-roll-sleeve,,,,,,,,S,,Black,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-04_70b9b579-17eb-4470-ab46-bf6026887c95.jpg?v=1514273770,6,,,,,,,,,,,,,,,,,,,kg,
boxy3-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-11_6329f274-112e-483a-b030-58b04591000b.jpg?v=1514273770,7,,,,,,,,,,,,,,,,,,,,
boxy3-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-15_8d4d0eca-b423-45fe-a7f5-63b970843b5f.jpg?v=1514273770,8,,,,,,,,,,,,,,,,,,,,
boxy2-t-shirt-with-roll-sleeve,Boxy2 T-Shirt with Roll Sleeve,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, color_black, color_gray, color_red, price_0-20, Shirts, size_L, size_M, size_S, size_XL, sleeveless",true,Size,S,Color,Gray,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12_e8f7bcc1-8e0a-4966-80fd-3d38fcc28a1e.jpg?v=1514273438,1,,false,,,,,,,,,,,,,,,,,kg,
boxy2-t-shirt-with-roll-sleeve,,,,,,,,M,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-10_a5ea99b2-7c92-4729-8663-09f773920553.jpg?v=1514273438,2,,,,,,,,,,,,,,,,,,,kg,
boxy2-t-shirt-with-roll-sleeve,,,,,,,,L,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-03_aac92c7a-da9e-491b-af27-8262a681617e.jpg?v=1514273438,3,,,,,,,,,,,,,,,,,,,kg,
boxy2-t-shirt-with-roll-sleeve,,,,,,,,XL,,Gray,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-13_6b2193bd-bb6c-4567-a5c5-1225cfee4b37.jpg?v=1514273438,4,,,,,,,,,,,,,,,,,,,kg,
boxy2-t-shirt-with-roll-sleeve,,,,,,,,S,,Red,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-16_4f43caa8-9d48-49f0-af5b-88fe4be7190e.jpg?v=1514273438,5,,,,,,,,,,,,,,,,,,,kg,
boxy2-t-shirt-with-roll-sleeve,,,,,,,,S,,Black,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-04_f3ee58a7-1b48-402a-9839-047632fbca6a.jpg?v=1514273438,6,,,,,,,,,,,,,,,,,,,kg,
boxy2-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-11_20721cf5-cd6e-4d26-b594-3d965507ba98.jpg?v=1514273438,7,,,,,,,,,,,,,,,,,,,,
boxy2-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-15_ace4475d-1f10-4843-964f-217820ad27d4.jpg?v=1514273438,8,,,,,,,,,,,,,,,,,,,,
boxy1-t-shirt-with-roll-sleeve,Boxy1 T-Shirt with Roll Sleeve,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, price_0-20, Shirts, size_L, size_M, size_S, size_XL, sleeveless",true,Size,S,,,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-10_928bd293-fd66-4b11-af8f-8e118c77549a.jpg?v=1514273397,1,,false,,,,,,,,,,,,,,,,,kg,
boxy1-t-shirt-with-roll-sleeve,,,,,,,,M,,,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-03_a5f412b0-e098-45f5-a45b-c261afdf1d33.jpg?v=1514273397,2,,,,,,,,,,,,,,,,,,,kg,
boxy1-t-shirt-with-roll-sleeve,,,,,,,,L,,,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12_9ff7511e-6d70-4db3-a5fb-b5553bc44298.jpg?v=1514273397,3,,,,,,,,,,,,,,,,,,,kg,
boxy1-t-shirt-with-roll-sleeve,,,,,,,,XL,,,,,"",0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-13_5976fc46-3bdb-43c3-846b-61fec6a1a4d0.jpg?v=1514273397,4,,,,,,,,,,,,,,,,,,,kg,
boxy1-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-15_ecf3a960-4e84-4565-a704-061af1862846.jpg?v=1514273397,5,,,,,,,,,,,,,,,,,,,,
boxy1-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-16_fcd3642b-c700-4293-84d2-e6a4039c6bf6.jpg?v=1514273397,6,,,,,,,,,,,,,,,,,,,,
boxy1-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-04_b817dc07-f1a0-43e9-ba4a-4360a4bcd609.jpg?v=1514273397,7,,,,,,,,,,,,,,,,,,,,
boxy1-t-shirt-with-roll-sleeve,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-11_cadce953-3333-4954-97c4-8918d4a04fd1.jpg?v=1514273397,8,,,,,,,,,,,,,,,,,,,,
boxy-t-shirt-with-roll-sleeve-detail,Boxy T-Shirt with Roll Sleeve Detail,"<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>
<p class=""s-text8"">Fusce ornare mi vel risus porttitor dignissim. Nunc eget risus at ipsum blandit ornare vel sed velit. Proin gravida arcu nisl, a dignissim mauris placerat</p>",MyVendor,Shirts,"boxy, price_0-20, price_20-40, Shirts, size_L, size_M, size_S, size_XL, sleeveless",true,Size,S,,,,,"",0,,1,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-03.jpg?v=1514269273,1,,false,,,,,,,,,,,,,,,,,kg,
boxy-t-shirt-with-roll-sleeve-detail,,,,,,,,M,,,,,"",0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-10.jpg?v=1514269274,2,,,,,,,,,,,,,,,,,,,kg,
boxy-t-shirt-with-roll-sleeve-detail,,,,,,,,L,,,,,"",0,,0,deny,manual,40.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-11.jpg?v=1514269276,3,,,,,,,,,,,,,,,,,,,kg,
boxy-t-shirt-with-roll-sleeve-detail,,,,,,,,XL,,,,,"",0,,0,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/2672/5778/products/item-12.jpg?v=1514269278,4,,,,,,,,,,,,,,,,,,,kg,
boxy-t-shirt-with-roll-sleeve-detail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-13.jpg?v=1514269279,5,,,,,,,,,,,,,,,,,,,,
boxy-t-shirt-with-roll-sleeve-detail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-15.jpg?v=1514269281,6,,,,,,,,,,,,,,,,,,,,
boxy-t-shirt-with-roll-sleeve-detail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-16.jpg?v=1514269283,7,,,,,,,,,,,,,,,,,,,,
boxy-t-shirt-with-roll-sleeve-detail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2672/5778/products/item-04.jpg?v=1514269285,8,,,,,,,,,,,,,,,,,,,,
